cleaned_text,cleaned_labels
experienced software engineer expertise developing scalable web application frontend developer technova year fullstack developer softcode ltd year javascript react nodejs aws bsc computer engineering boğaziçi university,group software web development
data analyst experience machine learning big data analytics data analyst analyticsco year python sql machine learning big data msc data science istanbul technical university,group data science big data
warehouse operation specialist expertise stock control inventory optimization warehouse manager retail logistics year stock control inventory management warehouse operation bba business administration marmara university,industrial management group warehouse stock control
general practitioner focus primary healthcare patient care general practitioner city health center year patient care diagnostics primary healthcare md medicine hacettepe university,medical group healthcare general medicine
pharmaceutical researcher expertise drug development clinical trial research scientist pharmatech year clinical researcher biohealth lab year clinical trial drug development laboratory analysis msc pharmaceutical science ege university,medical group pharmaceutical drug development
finance manager expertise corporate financial planning auditing finance manager fincorp year auditor audittrust year corporate finance financial auditing risk assessment bsc finance istanbul university,finance banking group auditing corporate finance
tax consultant specializing corporate tax planning compliance tax consultant taxwise solution year junior accountant accountassist year corporate tax tax compliance financial reporting bsc accounting ankara university,finance banking group tax accounting
hr professional expertise recruitment employee relation hr specialist talenthub year recruitment officer hireright ltd year recruitment employee relation performance management bsc human resource management marmara university,backoffice group hr recruitment
office administrator experience managing backoffice operation data entry office manager bizops solution year data entry specialist datasys year backoffice management data entry administrative support diploma business administration anadolu university,backoffice group administration data entry
sale executive specializing bb client acquisition retail sale sale executive salesforce ltd year retail sale manager marketleaders year bb sale client acquisition retail management bba marketing istanbul university,sale group bb sale retail
business development specialist focusing customer relationship management business development specialist growbiz year customer relationship manager clientfirst year customer relationship management lead generation business expansion mba business development koç university,sale group business development crm
marketing specialist focusing social medium strategy content creation social medium manager adspace year content creator creativeworks year social medium marketing content creation brand strategy bsc marketing boğaziçi university,medium marketing group social medium content marketing
medium planner specializing advertising campaign digital marketing analytics medium planner mediaanalytics year advertising specialist adexperts year campaign planning digital marketing market analysis msc advertising istanbul bilgi university,medium marketing group medium planning advertising
site engineer experienced overseeing construction project managing onsite operation site engineer buildright construction year construction manager urban developer year project management site supervision construction planning bsc civil engineering middle east technical university,field group construction site engineering
architect specializing urban planning sustainable design architect greendesign ltd year urban planner futurecity year urban planning sustainable design architectural rendering msc architecture istanbul technical university,field group architecture urban planning
tour manager extensive experience organizing leading group tour tour manager exploreworld year travel consultant global holiday year tour planning customer relation travel coordination bsc tourism hospitality management akdeniz university,hospitality group tour management travel
client service specialist airline hospitality industry client service specialist skyline airline year hospitality coordinator luxurystays year customer service ticketing hospitality operation diploma hospitality management istanbul university,hospitality group airline client service
ai engineer experience natural language processing machine learning system ai engineer deepmindtech year data scientist innovateai year python tensorflow nlp machine learning msc artificial intelligence boğaziçi university,group artificial intelligence nlp
cybersecurity analyst focusing penetration testing network security cybersecurity analyst securenet year penetration testing network security threat analysis bsc cybersecurity yıldız technical university,group cybersecurity network security
nurse specializing critical care emergency response critical care nurse city hospital year emergency nurse medicare year critical care emergency response patient monitoring bsc nursing hacettepe university,medical group critical care emergency response
biotechnologist focusing pharmaceutical research vaccine development biotech researcher biohealth lab year laboratory technician pharmatech year vaccine development biotechnology pharmaceutical research msc biotechnology ege university,medical group biotechnology pharmaceutical
retail sale specialist experience consumer electronics client acquisition retail sale specialist techstore year sale consultant clientpro year retail sale customer relation market analysis bba marketing marmara university,sale group retail customer relation
business development executive focusing strategic partnership lead generation business development executive growthworks year lead generation specialist leadmasters year strategic partnership business expansion lead generation mba strategic management koç university,sale group business development strategic partnership
civil engineer specializing largescale infrastructure project civil engineer infrabuild year project engineer urbantech year infrastructure design project management construction planning bsc civil engineering istanbul technical university,field group civil engineering infrastructure
landscape architect focusing sustainable urban design green space landscape architect greenspaces ltd year urban designer cityscape year sustainable design urban landscaping architectural planning msc landscape architecture ege university,field group landscape architecture urban design
hospitality professional expertise hotel operation guest relation front office manager luxurystay hotel year guest relation specialist elite hotel group year guest relation hotel operation front office management bsc tourism hospitality management anadolu university,hospitality group hotel management guest relation
travel consultant specializing ticketing customer support international client travel consultant global travel agency year ticketing specialist skyline airline year ticketing customer support travel planning diploma tourism management ege university,hospitality group travel ticketing
office administrator extensive experience managing administrative process scheduling office administrator bizcore solution year administrative assistant adminpro year office management scheduling administrative support diploma business administration marmara university,backoffice group administration office management
hr specialist focusing employee engagement recruitment hr specialist peoplefirst hr year recruitment officer hirepro year employee engagement recruitment hr operation bsc human resource management istanbul university,backoffice group hr recruitment
digital marketing expert experience campaign management seo strategy digital marketing specialist adsphere year seo analyst searchboost year seo digital campaign content marketing bsc marketing koç university,medium marketing group digital marketing seo
